name,address,city,state,postal_code,latitude,longitude,google_place_id
FELICE 64,1166 1 AVENUE,Manhattan,NY,10065,40.762637169816,-73.959750018443,ChIJa1dYp8JYwokRX2NCKS9MxvE
MARIELLA PIZZA,965 LEXINGTON AVENUE,Manhattan,NY,10021,40.76923942196,-73.963052977363,ChIJR7AxqetYwokRYh9Qwa3NJkk
MC GUINNESS'S,4423 QUEENS BOULEVARD,Queens,NY,11104,40.743342818979,-73.920270455954,ChIJax9OHtlewokRp4BHbKInhYw
HECTOR'S CAFE & DINER,44 LITTLE WEST   12 STREET,Manhattan,NY,10014,40.740293366157,-74.007971504391,ChIJfZw3R8BZwokRr6FJ2iNJX68
MAYA,1191 1 AVENUE,Manhattan,NY,10065,40.763051532927,-73.959479025574,ChIJ474qnsJYwokRnrZMyvOb5XI
BEL-AIRE DINER,3191 21 STREET,Queens,NY,11106,40.765360332795,-73.931539728153,ChIJYQWTyTVfwokRzZtviJxFeb8
ACME BAR & GRILL,9 GREAT JONES STREET,Manhattan,NY,10012,40.727412301884,-73.993920607258,ChIJySiQrZpZwokRvSPZxjsdziM
IMPERIAL BIKER BAR,652 FRANKLIN AVENUE,Brooklyn,NY,11238,40.676106992772,-73.956009812053,ChIJX5GR3Z5bwokRBv5qsyGJXQY
GINO'S PIZZA,831 FLATBUSH AVENUE,Brooklyn,NY,11226,40.652256037037,-73.959164568739,ChIJu2urCEBbwokRL_BVdHxkugk
ESTIATORIO MILOS,125 WEST   55 STREET,Manhattan,NY,10019,40.763506955506,-73.979275500684,ChIJbRaexvlYwokRYc5RgUjlsIY
COSTELLO'S CLADDAGH INN,3042 NOSTRAND AVENUE,Brooklyn,NY,11229,40.610281755188,-73.943725098429,ChIJ0e39jZhEwokRuz9bm0jjIks
OSTERIA LAGUNA,209 EAST   42 STREET,Manhattan,NY,10017,40.750564332192,-73.973959571427,ChIJ3V3FDgNZwokR2_McCvr-IOg
