camis,foursquare_fsq_id,google_place_id
40367749,4af23b33f964a520c9e621e3,ChIJJZUbfH9nwokRB4PiUl_hUls
40367752,4ddaba65e4cd37c893f9b5ab,ChIJBSZVvcNYwokRV7_ghSBPvyM
40367789,4c3e49fe1ef0d13ae01d9280,ChIJCeaFFaVgwokRWbrmlcnEGzY
40367790,4c84a71d51ada1cd96f63010,ChIJg0sUv0BbwokRtxaW0gw8DTg
40367841,459395b7f964a52047401fe3,ChIJs4mykPVYwokRfQShiIGQbqE
40367860,49d006ccf964a520f85a1fe3,ChIJqz1lIlVEwokRyXTXxNS4Rb0
40367870,4b7c7ddff964a5209c962fe3,ChIJjTFV6wNgwokR3Vtyb77DlCE
40368018,62b20a4e95170e4c279af2a5,ChIJM9muOwD1wokRIDRSpm4D56A
40368021,4c7a9a7e93ef236a5514b30f,ChIJNVnWXgD1wokRVJz2kgiCoL4
40368022,51c1ecb6498e8d96fa2b4595,ChIJqffhh9FFwokRm1ICGsK3Iqw
40368025,5ac91624acb00b7e538d8a43,ChIJu3PiaZv0wokRMjm41x3cvQw
40368026,4bb648cef562ef3b3fea2f97,ChIJj2d-9Jb1wokRcEZdlY_0HbU
40368034,4bca476fb6c49c74713b9091,ChIJ0_lqqopOwokRffglcNLp948
40368157,45b242f8f964a520a1411fe3,ChIJM0rq2JVZwokRDlxoPRqwCWs
40368207,4b660358f964a520560e2be3,ChIJOfPzdkZDwokRp-inFN4jIeE
40368223,3fd66200f964a52074e71ee3,ChIJR9legAFZwokRa1s5gcFXPZw
40368271,3fd66200f964a52029e31ee3,ChIJc2yQSp1ZwokRjcWYA96Gmzg
40368291,4d841439e83fa14337155ca1,ChIJ5Uh5SshOwokRzDO_GIHhjF8
40368313,4a5e2122f964a5200fbe1fe3,ChIJs5kQ9P9YwokR0-5r5j2SiR4
40368318,4b036126f964a520114f22e3,ChIJXWx8eP5YwokRCclAhRLMks0
40368338,4a38f168f964a5200c9f1fe3,ChIJwXsOq75YwokR-a3vffsB8gM
40368374,3fd66200f964a52084e81ee3,ChIJqz-3FVVYwokRo_z9ZJDCM3g
40368555,540df8c8498e1524a6acd4f8,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o
40368577,4a62af49f964a52073c41fe3,ChIJCetWGSlbwokR3PEEmWQ_lNs
40368581,4a0b79cff964a520fc741fe3,ChIJIWNZgJNZwokRsOATqnluSIk
40368632,4c6f2d4a2930bfb7885cf380,ChIJ-_43HkBFwokRwMZ1q8gP7Pc
40368725,4afa3fb6f964a5208a1722e3,ChIJG220KbxZwokRHjswHYJpZb8
40368752,3fd66200f964a52006e61ee3,ChIJBUwsto1ZwokRsW3Dy0Y1cO0
40368763,4b1d9467f964a5208c1224e3,ChIJycCGNftYwokRQY8HkabDp1k
40368801,4cfabd83d7206ea80bd43a69,ChIJN57WvuJhwokRSJvUHq360O0
40368809,506dde5ce4b052d994117629,ChIJS-k786ZhwokRwbTzqzv4OzA
40368824,4b1da2d0f964a5205d1324e3,ChIJx8gpa_BYwokR7bF7UzsShpY
40368897,4ad67f80f964a5207e0721e3,ChIJw47zKvxYwokRgD1Zt5Licyo
40369012,4bd31a2741b9ef3bd83effe5,ChIJh_bMU_RgwokRS_6hMbmbdcM
40369016,46bf2572f964a520e4491fe3,ChIJXz3lxO9YwokRnSqS_Lpt4ss
40369051,4bfbb14c565f76b0f8ce05db,ChIJwQMLqi9gwokRHMPkQa1AYf8
40369158,4bbaa33db35776b09c35cb01,ChIJ9R9XYGpOwokRUEmXJhtW0mU
40369165,40fc6080f964a520000b1fe3,ChIJAW4Ub6VYwokRsUbtg17_8P8
40369213,44a1b84cf964a520d4341fe3,ChIJm3klDgBhwokRZznlH0Qft-w
40369262,4c06f6e58a81c9b6c0972690,ChIJi0aiQVFewokRbkOlANqMQ-E
40369299,4bdde3caffdec928b0d7e6a1,ChIJEYbUenyMwokRwlydycwoZJw
40369418,4161e400f964a520611d1fe3,ChIJr4J2gZFZwokRA2y5p4UfH8I
40369461,4b2c0753f964a520f2bf24e3,ChIJt1zga1VYwokR6xt-JzNU3Yg
40369482,4d3e793dfb4c5481023de614,ChIJe09NjBxdwokRPnSd1XcmGAs
40369521,3fd66200f964a520cae91ee3,ChIJeb6z-JlZwokRiZa4J1J0aGk
40369608,3fd66200f964a520efe81ee3,ChIJ2QZOdTpawokRU_eN_EPJaX8
40369619,45e5c256f964a52046431fe3,ChIJV1VdJB9awokRsucxnGK_eTE
40369641,4a47cbf1f964a5201daa1fe3,ChIJh4kgf4-LwokRNpMUb_r4n70
40369667,4b2d5275f964a52010d424e3,ChIJeXU_LoJcwokRHDK7L9Rqvys
